destination_radar,destination_radar_fr,destination_radar_en,homeport_destination_radar,ferme_bureau,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Soubise,,Deux Soeures,Out,In,1789=08=03,1789>08>03,00340363
Local,Local,Local,Local,Marennes,50,Marennes,Tonnay-Charente,,Deux Sœurs,Out,In,1789=01=30,1789>01>30,00338434
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,,Saint Pierre,Out,In,1789=07=21,1789>07>21,00338583
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,,Charlotte,Out,In,1789=08=17,1789>08>17,00338601
Local,Local,Local,Local,La Rochelle,45,La Rochelle,Saint-Martin-de-Ré,,Sainte Marie,Out,In,1789=04=22,1789>04>22,00340423
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Saint-Martin-de-Ré,,Petite Marie,Out,In,1789=12=22,1789>12>22,00340435
France,France,France,France,Marennes,40,Marennes,Bordeaux,,Indécis,Out,In,1789=03=11,1789>03>11,00338828
France,France,France,Local,Marennes,24,Marennes,Bordeaux,,Marianne,Out,In,1789=03=04,1789>03>04,00338827
France,France,France,Local,Marennes,30,Marennes,Bordeaux,,Quatre Sœurs,Out,In,1789=04=11,1789>04>11,00338843
France,France,France,France,Marennes,20,Marennes,Bordeaux,,Marie Francoise,Out,In,1789=04=25,1789>04>25,00338849
France,France,France,France,Marennes,16,Marennes,Bordeaux,,Saint Vincent,Out,In,1789=07=28,1789>07>28,00338894
France,France,France,France,Marennes,37,Marennes,Bordeaux,,Petitte Mignonne,Out,In,1789=08=03,1789>08>03,00338896
France,France,France,Local,Marennes,46,Marennes,Bordeaux,,Don de Dieu,Out,In,1789=08=17,1789>08>17,00338904
France,France,France,France,Marennes,54,Marennes,Bordeaux,,Marie Joseph,Out,In,1789=12=02,1789>12>02,00339004
France,France,France,France,Les Sables-d'Olonne,60,Les Sables-d'Olonne,Bordeaux,,Marie Juliéne,Out,In,1789=03=02,1789>03>02,00339005
Local,Local,Local,Local,Tonnay-Charente,40,Tonnay-Charente,La Rochelle,,Quatre Freres,Out,In,1789=05=30,1789>05>30,00341259
France,France,France,Local,Les Sables-d'Olonne,34,Les Sables-d'Olonne,Bordeaux,,Jazon,Out,In,1789=04=15,1789>04>15,00339014
France,France,France,Local,Les Sables-d'Olonne,30,Les Sables-d'Olonne,Bordeaux,,Confiance,Out,In,1789=05=08,1789>05>08,00339015
France,France,France,Local,Les Sables-d'Olonne,50,Saint-Gilles-sur-Vie,Bordeaux,,Jazon,Out,In,1789=02=03,1789>02>03,00339023
France,France,France,France,Les Sables-d'Olonne,36,Saint-Gilles-sur-Vie,Bordeaux,,Saint François,Out,In,1789=03=06,1789>03>06,00339025
France,France,France,Local,Les Sables-d'Olonne,27,Saint-Gilles-sur-Vie,Bordeaux,,Saint Antoine,Out,In,1789=06=04,1789>06>04,00339029
France,France,France,France,Les Sables-d'Olonne,44,Saint-Gilles-sur-Vie,Bordeaux,,Providence,Out,In,1789=10=31,1789>10>31,00339034
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Les Sables-d'Olonne,60,Les Sables-d'Olonne,Bayonne,,Elizabeth,Out,In,1789=02=12,1789>02>12,00339102
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,60,Les Sables-d'Olonne,Bayonne,,Amitié,Out,In,1789=03=19,1789>03>19,00339104
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Les Sables-d'Olonne,50,Les Sables-d'Olonne,Bayonne,,Auguste Céléste,Out,In,1789=04=29,1789>04>29,00339105
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,60,Les Sables-d'Olonne,Bayonne,,Jeune Aimé,Out,In,1789=04=30,1789>04>30,00339106
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,60,Les Sables-d'Olonne,Bayonne,,Amitié,Out,In,1789=09=05,1789>09>05,00339116
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Les Sables-d'Olonne,50,Les Sables-d'Olonne,Bayonne,,Auguste Céléste,Out,In,1789=09=21,1789>09>21,00339118
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,100,Les Sables-d'Olonne,Bayonne,,Trois Soeurs,Out,In,1789=10=01,1789>10>01,00339120
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,64,Les Sables-d'Olonne,Bayonne,,Amitié,Out,In,1789=12=09,1789>12>09,00339124
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,40,Saint-Gilles-sur-Vie,Bayonne,,Vigilant,Out,In,1789=02=25,1789>02>25,00339126
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,52,Saint-Gilles-sur-Vie,Bayonne,,Voltigeur,Out,In,1789=02=27,1789>02>27,00339127
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Europe,Les Sables-d'Olonne,48,Saint-Gilles-sur-Vie,Bayonne,,Notre Dame la Conception,Out,In,1789=07=03,1789>07>03,00339134
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,40,Saint-Gilles-sur-Vie,Bayonne,,Vigilant,Out,In,1789=08=20,1789>08>20,00339135
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Les Sables-d'Olonne,60,Saint-Gilles-sur-Vie,Bayonne,,Saint Vincent,Out,In,1789=12=12,1789>12>12,00339141
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,Marennes,,Quatre Sœurs,Out,In,1789=07=25,1789>07>25,00341019
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Saint Pierre,Out,In,1789=02=23,1789>02>23,00339175
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Jeannette,Out,In,1789=03=09,1789>03>09,00339178
Local,Local,Local,Local,Saint-Martin-de-Ré,5,Ars-en-Ré,Marans,,Aventure,Out,In,1789=03=16,1789>03>16,00339180
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Don de Dieu,Out,In,1789=04=12,1789>04>12,00339183
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Jeanne Marie,Out,In,1789=05=02,1789>05>02,00339185
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Marie Société,Out,In,1789=05=07,1789>05>07,00339188
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Saint Louis,Out,In,1789=06=13,1789>06>13,00339195
Local,Local,Local,Local,Saint-Martin-de-Ré,5,Ars-en-Ré,Marans,,Aventure,Out,In,1789=08=14,1789>08>14,00339200
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Valléë de Saint Pierre,Out,In,1789=06=25,1789>06>25,00339196
Local,Local,Local,Local,Saint-Martin-de-Ré,5,Ars-en-Ré,Marans,,Aventure,Out,In,1789=08=01,1789>08>01,00339197
Local,Local,Local,Local,Tonnay-Charente,33,Tonnay-Charente,Royan,,Grace de Dieu,Out,In,1789=05=14,1789>05>14,00340487
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Deux Frères,Out,In,1789=08=17,1789>08>17,00339201
Local,Local,Local,Local,Saint-Martin-de-Ré,4,Ars-en-Ré,Marans,,Esperance,Out,In,1789=08=17,1789>08>17,00339202
Local,Local,Local,Local,Saint-Martin-de-Ré,6,Ars-en-Ré,Marans,,Aventure,Out,In,1789=09=03,1789>09>03,00339205
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Deux Frères,Out,In,1789=09=03,1789>09>03,00339206
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Société,Out,In,1789=09=08,1789>09>08,00339207
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Deux Frères,Out,In,1789=09=17,1789>09>17,00339209
Local,Local,Local,Local,Saint-Martin-de-Ré,3,Ars-en-Ré,Marans,,Esperance,Out,In,1789=10=02,1789>10>02,00339212
Local,Local,Local,Local,Saint-Martin-de-Ré,5,Ars-en-Ré,Marans,,Aventure,Out,In,1789=10=02,1789>10>02,00339213
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Marans,,Jeanne Marie,Out,In,1789=10=30,1789>10>30,00339216
Local,Local,Local,Local,Saint-Martin-de-Ré,5,Ars-en-Ré,Marans,,Aventure,Out,In,1789=10=30,1789>10>30,00339217
Local,Local,Local,Local,Saint-Martin-de-Ré,4,Ars-en-Ré,Marans,,Aventure,Out,In,1789=11=28,1789>11>28,00339219
Local,Local,Local,Local,Saint-Martin-de-Ré,9,Saint-Martin-de-Ré,Rochefort,,Sainte Barbe,Out,In,1789=12=24,1789>12>24,00339450
Local,Local,Local,Local,Saint-Martin-de-Ré,44,Saint-Martin-de-Ré,Moricq,,Providence,Out,In,1789=03=20,1789>03>20,00339744
Local,Local,Local,Local,Marennes,10,Marennes,La Rochelle,,Aimable Suzanne,Out,In,1789=11=11,1789>11>11,00339762
Local,Local,Local,Local,Saint-Martin-de-Ré,32,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=05=02,1789>05>02,00339764
Local,Local,Local,Local,Saint-Martin-de-Ré,4,La Flotte-en-Ré,La Rochelle,,Veronique,In-Out,In,1789=03=23,1789>03>23,00339895
Local,Local,Local,Local,Saint-Martin-de-Ré,15,La Flotte-en-Ré,La Rochelle,,Chamaux,Out,In,1789=04=15,1789>04>15,00339897
Local,Local,Local,Local,Marennes,20,La Perrotine,La Rochelle,,Coutiche,Out,In,1789=05=15,1789>05>15,00339898
Local,Local,Local,Local,Marennes,6,Marennes,La Rochelle,,Deux Amis,Out,In,1789=02=04,1789>02>04,00339902
Local,Local,Local,Local,Saint-Martin-de-Ré,20,Saint-Martin-de-Ré,La Rochelle,,Henry,Out,In,1789=04=03,1789>04>03,00339907
France,France,France,Local,Rochefort,55,Rochefort,Cherbourg,,Bien Aimé,Out,In,1789=02=21,1789>02>21,00339942
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,28,Noirmoutier,Nantes,,Saint Joseph,Out,In,1789=03=16,1789>03>16,00340042
Local,Local,Local,Local,Marennes,8,Ribérou,La Rochelle,,Marie Therese,Out,In,1789=02=21,1789>02>21,00340045
Local,Local,Local,Local,Saint-Martin-de-Ré,9,Saint-Martin-de-Ré,La Rochelle,,Benjamin,Out,In,1789=10=01,1789>10>01,00340067
Local,Local,Local,Local,Saint-Martin-de-Ré,30,Saint-Martin-de-Ré,Marans,,Deux Amis,Out,In,1789=06=12,1789>06>12,00340074
Local,Local,Local,Grande-Bretagne,Rochefort,47,Rochefort,Saint-Martin-de-Ré,,L' Ively [Lively],Out,In,1789=05=29,1789>05>29,00340115
Local,Local,Local,France,Rochefort,18,Rochefort,Saint-Martin-de-Ré,,Saint Pierre,Out,In,1789=08=06,1789>08>06,00340118
France,France,France,France,Rochefort,130,Rochefort,Nantes,,Saint Pierre,Out,In,1789=07=27,1789>07>27,00340160
France,France,France,France,Rochefort,140,Rochefort,Nantes,,Marie Joseph Clement,Out,In,1789=07=27,1789>07>27,00340161
France,France,France,France,Rochefort,135,Rochefort,Nantes,,Providence,Out,In,1789=09=01,1789>09>01,00340165
France,France,France,Europe,Rochefort,360,Rochefort,Nantes,,Anne et Cathérinne,Out,In,1789=09=20,1789>09>20,00340168
France,France,France,France,Rochefort,135,Rochefort,Nantes,,Saint Jacques,Out,In,1789=09=26,1789>09>26,00340170
France,France,France,Europe,Rochefort,167,Rochefort,Nantes,,Palmier,Out,In,1789=10=01,1789>10>01,00340171
France,France,France,France,Rochefort,130,Rochefort,Nantes,,Saint Sauveur,Out,In,1789=10=17,1789>10>17,00340173
France,France,France,Europe,Rochefort,136,Rochefort,Nantes,,Jeune Cathalina,Out,In,1789=10=26,1789>10>26,00340174
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Moricq,,Ange Gabriel,Out,In,1789=07=06,1789>07>06,00340175
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Moricq,,Amitié,Out,In,1789=07=07,1789>07>07,00340177
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Moricq,,Jeanne Marie,Out,In,1789=07=07,1789>07>07,00340178
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Moricq,,Cathrinne,Out,In,1789=07=07,1789>07>07,00340179
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Moricq,,Union,Out,In,1789=07=23,1789>07>23,00340184
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Moricq,,Saint Louis,Out,In,1789=08=05,1789>08>05,00340186
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,Moricq,,Union,Out,In,1789=08=12,1789>08>12,00340187
Local,Local,Local,Local,Tonnay-Charente,25,Tonnay-Charente,Rochefort,,Saint Pierre,Out,In,1789=06=10,1789>06>10,00340533
Local,Local,Local,Local,Rochefort,32,Rochefort,Tonnay-Charente,,Sainte Marie,Out,In,1789=02=13,1789>02>13,00340252
Local,Local,Local,Grande-Bretagne,Rochefort,100,Rochefort,Tonnay-Charente,,Lucy,Out,In,1789=11=06,1789>11>06,00340296
France,France,France,Europe,Rochefort,266,Rochefort,Bordeaux,,Vryhyd et yves,Out,In,1789=11=19,1789>11>19,00340317
France,France,France,Europe,Rochefort,180,Rochefort,Bordeaux,,Jeune Harmen,Out,In,1789=11=19,1789>11>19,00340318
Local,Local,Local,Local,Saint-Martin-de-Ré,3,Ars-en-Ré,Marans,,Petit Saint Jean,Out,In,1789=09=08,1789>09>08,00340339
Local,Local,Local,Local,Saint-Martin-de-Ré,4,Ars-en-Ré,Marans,,Petit Saint Jean,Out,In,1789=10=30,1789>10>30,00340340
France,France,France,France,La Rochelle,35,La Rochelle,Cherbourg,,Auguste,Out,In,1789=04=06,1789>04>06,00341651
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Tonnay-Charente,,Entreprise,Out,In,1789=01=16,1789>01>16,00341655
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Marie Anne,Out,In,1789=01=27,1789>01>27,00341658
Local,Local,Local,Local,La Rochelle,30,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=03=02,1789>03>02,00341675
Local,Local,Local,Local,La Rochelle,31,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=03=02,1789>03>02,00341676
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Tonnay-Charente,,Entreprise,Out,In,1789=03=11,1789>03>11,00341683
Local,Local,Local,Local,La Rochelle,34,La Rochelle,Tonnay-Charente,,Petit Saint Jean,Out,In,1789=03=12,1789>03>12,00341684
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Tonnay-Charente,,Victoire,Out,In,1789=03=19,1789>03>19,00341690
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Saint Pierre,Out,In,1789=03=24,1789>03>24,00341694
Local,Local,Local,Local,La Rochelle,31,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=03=26,1789>03>26,00341695
Local,Local,Local,Local,La Rochelle,30,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=04=04,1789>04>04,00341704
Local,Local,Local,Local,La Rochelle,40,La Rochelle,Tonnay-Charente,,Marianne,Out,In,1789=04=17,1789>04>17,00341707
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=04=17,1789>04>17,00341708
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Tonnay-Charente,,Petite Marie,Out,In,1789=04=20,1789>04>20,00341710
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Tonnay-Charente,,Entreprise,Out,In,1789=04=23,1789>04>23,00341713
Local,Local,Local,Local,La Rochelle,30,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=05=04,1789>05>04,00341720
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=05=05,1789>05>05,00341722
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Saint Etienne,Out,In,1789=05=09,1789>05>09,00341724
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Victoire,Out,In,1789=05=18,1789>05>18,00341729
France,France,France,France,Marennes,98,Marennes,Gravelines,0000155N,Saint Briac,Out,In,1789=12=07,1789>12>07,00338095
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Tonnay-Charente,,Entreprise,Out,In,1789=05=18,1789>05>18,00341730
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Saint Pierre,Out,In,1789=05=29,1789>05>29,00341734
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Saint Etienne,Out,In,1789=06=05,1789>06>05,00341737
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Sainte Marie,Out,In,1789=06=08,1789>06>08,00341738
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Saint Etienne,Out,In,1789=06=20,1789>06>20,00341749
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Tonnay-Charente,,Petite Marie,Out,In,1789=06=27,1789>06>27,00341752
Local,Local,Local,Local,La Rochelle,30,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=07=02,1789>07>02,00341755
Local,Local,Local,Local,La Rochelle,40,La Rochelle,Tonnay-Charente,,Marianne,Out,In,1789=07=03,1789>07>03,00341756
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=07=15,1789>07>15,00341764
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Victoire,Out,In,1789=07=25,1789>07>25,00341768
Local,Local,Local,Local,La Rochelle,30,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=07=25,1789>07>25,00341769
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=08=06,1789>08>06,00341772
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Tonnay-Charente,,Entreprise,Out,In,1789=08=07,1789>08>07,00341775
Local,Local,Local,Local,La Rochelle,40,La Rochelle,Tonnay-Charente,,Quatre Freres,Out,In,1789=08=10,1789>08>10,00341779
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Sainte Marie,Out,In,1789=09=07,1789>09>07,00341794
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Victoire,Out,In,1789=09=11,1789>09>11,00341796
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Entreprise,Out,In,1789=10=03,1789>10>03,00341811
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=10=06,1789>10>06,00341815
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=10=09,1789>10>09,00341817
Local,Local,Local,Local,La Rochelle,40,La Rochelle,Tonnay-Charente,,Quatre Freres,Out,In,1789=10=10,1789>10>10,00341818
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Sainte Marie,Out,In,1789=10=23,1789>10>23,00341825
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Saint Francois,Out,In,1789=10=28,1789>10>28,00341827
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=11=05,1789>11>05,00341832
Local,Local,Local,Local,La Rochelle,39,La Rochelle,Tonnay-Charente,,Theophile,Out,In,1789=11=13,1789>11>13,00341833
Local,Local,Local,Local,La Rochelle,40,La Rochelle,Tonnay-Charente,,Guillaume,Out,In,1789=11=21,1789>11>21,00341840
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Entreprise,Out,In,1789=11=25,1789>11>25,00341844
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Tonnay-Charente,,Saint Pierre,Out,In,1789=11=28,1789>11>28,00341847
Local,Local,Local,Local,La Rochelle,25,La Rochelle,Tonnay-Charente,,Marie Anne,Out,In,1789=12=12,1789>12>12,00341851
Local,Local,Local,Local,La Rochelle,40,La Rochelle,Tonnay-Charente,,Prophete Elie,Out,In,1789=12=18,1789>12>18,00341853
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Tonnay-Charente,,Marie Elisabeth,Out,In,1789=12=19,1789>12>19,00341854
Local,Local,Local,Local,La Rochelle,45,La Rochelle,Tonnay-Charente,,Aimable Perpétue,Out,In,1789=12=21,1789>12>21,00341855
France,France,France,Local,La Rochelle,105,La Rochelle,Bordeaux,,Comte d' Hector,Out,In,1789=08=31,1789>08>31,00342032
France,France,France,France,La Rochelle,30,La Rochelle,Bordeaux,,Saint Germain,Out,In,1789=09=24,1789>09>24,00342033
Local,Local,Local,France,Marans,61,Marans,Marennes,0000262N,Union,Out,In,1789=07=17,1789>07>17,00336220
Colonies,Colonies,Colonies,Local,La Rochelle,210,La Rochelle,Saint-Pierre-et-Miquelon,0000680N,Jeune Armand,Out,In,1789=07=11,1789>07>11,00341419
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Marennes,62,Marennes,Dunkerque,0000666N,Bienfaisant,Out,In,1789=03=26,1789>03>26,00338210
Local,Local,Local,Local,Les Sables-d'Olonne,24,Les Sables-d'Olonne,La Rochelle,0000882N,Espérance,Out,In,1789=05=14,1789>05>14,00336777
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Marennes,85,Marennes,Dunkerque,0001416N,Louis David,Out,In,1789=10=26,1789>10>26,00338282
Local,Local,Local,Local,Tonnay-Charente,20,Tonnay-Charente,La Rochelle,0001231N,Saint Pierre,Out,In,1789=05=13,1789>05>13,00341253
Local,Local,Local,Local,Marans,24,Marans,Ribérou,0001527N,Deux frères,Out,In,1789=11=11,1789>11>11,00333239
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Saint-Martin-de-Ré,61,Saint-Martin-de-Ré,Lorient,0001604N,Genevieve,Out,In,1789=02=20,1789>02>20,00339883
Local,Local,Local,Local,La Rochelle,8,La Rochelle,Marennes,0001871N,Julie,Out,In,1789=07=07,1789>07>07,00340982
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,30,Noirmoutier,Bordeaux,0001797N,Saint Joseph,Out,In,1789=02=12,1789>02>12,00333878
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,36,Noirmoutier,Étaples ,0001797N,Saint Joseph,Out,In,1789=08=22,1789>08>22,00338187
Local,Local,Local,Local,Marennes,8,Marennes,La Rochelle,0001871N,Julie,Out,In,1789=01=30,1789>01>30,00333474
Local,Local,Local,Local,Marennes,8,Marennes,Marans,0001871N,Julie,Out,In,1789=07=04,1789>07>04,00339244
France,France,France,France,Marennes,59,Marennes,Gravelines,0002027N,Sainte Hélénne,Out,In,1789=07=25,1789>07>25,00338109
France,France,France,Local,Marans,26,Marans,Bordeaux,0002474N,Pierre Catherine,Out,In,1789=10=05,1789>10>05,00333757
France,France,France,France,Marennes,73,Marennes,Saint-Valéry-sur-Somme,0002642N,Aimable Bristolle,Out,In,1789=04=11,1789>04>11,00337283
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Marennes,72,Marennes,Dunkerque,0002710N,Marie Françoise,Out,In,1789=11=02,1789>11>02,00338284
Local,Local,Local,Europe,Rochefort,180,Rochefort,Marennes,0003065N,Griffon,Out,In,1789=08=01,1789>08>01,00340209
France,France,France,France,La Rochelle,14,La Rochelle,Le Croisic,,Marie Francoise,Out,In,1789=07=31,1789>07>31,00341551
France,France,France,France,Marans,46,Marans,Bordeaux,0003553N,Aimable Denise,Out,In,1789=11=20,1789>11>20,00333725
France,France,France,France,Rochefort,52,Rochefort,Bordeaux,0003646N,Saint Pierre,Out,In,1789=10=29,1789>10>29,00339513
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,36,Noirmoutier,Nantes,0001797N,Saint Joseph,Out,In,1789=04=27,1789>04>27,00337565
France,France,France,France,Marennes,53,Marennes,Bordeaux,0003665N,Saint Maurice,Out,In,1789=04=22,1789>04>22,00338847
Local,Local,Local,Local,Rochefort,45,Rochefort,La Rochelle,0003681N,Marie Thérèse,Out,In,1789=01=29,1789>01>29,00337074
Local,Local,Local,Local,Tonnay-Charente,39,Tonnay-Charente,La Rochelle,0006313N,Marie Theophile,Out,In,1789=11=05,1789>11>05,00341374
France,France,France,France,Marennes,66,Marennes,Gravelines,0004283N,Saint Jean Marie,Out,In,1789=09=26,1789>09>26,00338119
Local,Local,Local,France,Rochefort,25,Rochefort,La Perrotine,0004407N,Saint Sebastien,Out,In,1789=02=28,1789>02>28,00333903
Local,Local,Local,Local,Saint-Martin-de-Ré,22,La Flotte-en-Ré,La Rochelle,0004772N,Perle,In-Out,In,1789=04=08,1789>04>08,00339892
Local,Local,Local,Local,Saint-Martin-de-Ré,22,La Flotte-en-Ré,Moricq,0004772N,Perle,In-Out,In,1789=07=07,1789>07>07,00332658
Local,Local,Local,Local,Saint-Martin-de-Ré,22,La Flotte-en-Ré,La Rochelle,0004772N,Perle,In-Out,In,1789=11=06,1789>11>06,00339888
Local,Local,Local,Local,Saint-Martin-de-Ré,4,Saint-Martin-de-Ré,Moricq,0005985N,Concord,Out,In,1789=06=17,1789>06>17,00336187
Local,Local,Local,Local,Marennes,20,Marennes,La Rochelle,0006314N,Franc Masson,Out,In,1789=02=10,1789>02>10,00332977
Local,Local,Local,Local,Marennes,20,Marennes,La Rochelle,0006314N,Franc Masson,Out,In,1789=11=07,1789>11>07,00332951
Local,Local,Local,Local,Rochefort,10,Rochefort,La Rochelle,0006325N,Julie,Out,In,1789=12=11,1789>12>11,00340236
Local,Local,Local,Local,Marans,40,Marans,La Rochelle,0006326N,Aimable,Out,In,1789=02=26,1789>02>26,00332840
Local,Local,Local,Local,Marans,40,Marans,Saint-Martin-de-Ré,0006326N,Aimable,Out,In,1789=03=19,1789>03>19,00332814
Local,Local,Local,Local,Marans,40,Marans,Rochefort,0006326N,Aimable,Out,In,1789=06=23,1789>06>23,00332822
Local,Local,Local,Local,Marans,40,Marans,Rochefort,0006326N,Aimable,Out,In,1789=08=29,1789>08>29,00332764
Local,Local,Local,Local,Marans,40,Marans,La Rochelle,0006326N,Aimable,Out,In,1789=09=24,1789>09>24,00332863
Local,Local,Local,Local,Marans,40,Marans,Rochefort,0006326N,Aimable,Out,In,1789=11=11,1789>11>11,00333671
Local,Local,Local,Local,Marans,27,Marans,Rochefort,0006327N,Aimable Solide,Out,In,1789=02=26,1789>02>26,00336828
Local,Local,Local,Local,Marans,37,Marans,Rochefort,0006327N,Aimable Solide,Out,In,1789=06=10,1789>06>10,00334870
Local,Local,Local,Local,Marans,37,Marans,Rochefort,0006327N,Aimable Solide,Out,In,1789=09=12,1789>09>12,00333044
Local,Local,Local,Local,Marans,37,Marans,Rochefort,0006327N,Aimable Solide,Out,In,1789=12=04,1789>12>04,00333673
