product,product_fr,product_en,entity,entity_fr,entity_en,value_rel_per_direction,order
Subsistances diverses et mélangées,Subsistances diverses et mélangées,Subsistances diverses et mélangées,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0002688555898773819,38
Subsistances diverses et mélangées,Subsistances diverses et mélangées,Subsistances diverses et mélangées,France (moyenne),France (moyenne),France (mean),0.0038559619152968936,38
Riz,Riz,Riz,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0002683306277772029,39
Riz,Riz,Riz,France (moyenne),France (moyenne),France (mean),0.001519503612814057,39
Habits et lingerie,Habits et lingerie,Habits et lingerie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00021598440693078379,40
Habits et lingerie,Habits et lingerie,Habits et lingerie,France (moyenne),France (moyenne),France (mean),0.005310796923050298,40
"Cornes, corail, écailles, ivoire et nacre","Cornes, corail, écailles, ivoire et nacre","Cornes, corail, écailles, ivoire et nacre",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00020998484007159535,41
"Cornes, corail, écailles, ivoire et nacre","Cornes, corail, écailles, ivoire et nacre","Cornes, corail, écailles, ivoire et nacre",France (moyenne),France (moyenne),France (mean),0.00017211237865925853,41
Chapeaux hors paille et écorce,Chapeaux hors paille et écorce,Chapeaux hors paille et écorce,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00020248538149760979,42
Chapeaux hors paille et écorce,Chapeaux hors paille et écorce,Chapeaux hors paille et écorce,France (moyenne),France (moyenne),France (mean),0.006930919261172773,42
Mercerie,Mercerie,Haberdashery,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00015403887910966316,43
Mercerie,Mercerie,Haberdashery,France (moyenne),France (moyenne),France (mean),0.010060215130497221,43
Divers mélangés,Divers mélangés,Divers mélangés,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00012059129386968762,44
Divers mélangés,Divers mélangés,Divers mélangés,France (moyenne),France (moyenne),France (mean),0.002346778536889485,44
Fer-blanc,Fer-blanc,Fer-blanc,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00012029131552672819,45
Fer-blanc,Fer-blanc,Fer-blanc,France (moyenne),France (moyenne),France (mean),0.00018254359059937815,45
Papier,Papier,Papier,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00010469244169283825,46
Papier,Papier,Papier,France (moyenne),France (moyenne),France (mean),0.0050691064517990195,46
"Cuirs, peaux et pelleterie","Cuirs, peaux et pelleterie","Hides, skins and furs",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,9.299328631742079e-05,47
"Cuirs, peaux et pelleterie","Cuirs, peaux et pelleterie","Hides, skins and furs",France (moyenne),France (moyenne),France (mean),0.010886477805477999,47
Produits inconnus,Produits inconnus,Produits inconnus,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,9.156838918836354e-05,48
Produits inconnus,Produits inconnus,Produits inconnus,France (moyenne),France (moyenne),France (mean),0.0004026740448940185,48
Quinquina,Quinquina,Quinquina,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,6.749512716586993e-05,49
Quinquina,Quinquina,Quinquina,France (moyenne),France (moyenne),France (mean),0.00023440869860971987,49
Manne et médicaments,Manne et médicaments,Manne et médicaments,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,6.719514882291051e-05,50
Manne et médicaments,Manne et médicaments,Manne et médicaments,France (moyenne),France (moyenne),France (mean),0.0006371522795330541,50
Bonneterie hors soie,Bonneterie hors soie,Bonneterie hors soie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,5.872076063430684e-05,51
Bonneterie hors soie,Bonneterie hors soie,Bonneterie hors soie,France (moyenne),France (moyenne),France (mean),0.002186976777965728,51
Bâtiments de mer et apparaux,Bâtiments de mer et apparaux,Bâtiments de mer et apparaux,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,5.534600427601334e-05,52
Bâtiments de mer et apparaux,Bâtiments de mer et apparaux,Bâtiments de mer et apparaux,France (moyenne),France (moyenne),France (mean),0.002987319357322643,52
Argenterie et orfèvrerie,Argenterie et orfèvrerie,Argenterie et orfèvrerie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,5.324615587529739e-05,53
Argenterie et orfèvrerie,Argenterie et orfèvrerie,Argenterie et orfèvrerie,France (moyenne),France (moyenne),France (mean),0.0020833701844523165,53
Fruits secs et noix,Fruits secs et noix,Fruits secs et noix,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,2.9322883024283493e-05,54
Fruits secs et noix,Fruits secs et noix,Fruits secs et noix,France (moyenne),France (moyenne),France (mean),0.00465183051512189,54
Dorure,Dorure,Dorure,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,2.6998050866347973e-05,55
Dorure,Dorure,Dorure,France (moyenne),France (moyenne),France (mean),0.0039353427558054994,55
Soieries diverses,Soieries diverses,Soieries diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,2.4298245779713175e-05,56
Soieries diverses,Soieries diverses,Soieries diverses,France (moyenne),France (moyenne),France (mean),0.005027065901891657,56
Fils divers,Fils divers,Fils divers,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,1.9498592292362425e-05,57
