destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Local,Local,22,Marans,île d'Oléron,0003725N,Saint Nicolas,Out,In,1789=07=22,1789>07>22,00332767
Local,Local,22,Marans,île d'Oléron,0003725N,Saint Nicolas,Out,In,1789=07=01,1789>07>01,00333709
Local,Local,23,Marans,île d'Oléron,0003725N,Saint Nicolas,Out,In,1789=01=30,1789>01>30,00334886
Local,Local,22,Marans,île d'Oléron,0003725N,Saint Nicolas,Out,In,1789=03=26,1789>03>26,00334890
Local,Local,22,Marans,île d'Oléron,0003725N,Saint Nicolas,Out,In,1789=04=29,1789>04>29,00334898
Local,Local,22,Marans,île d'Oléron,0003725N,Saint Nicolas,Out,In,1789=05=27,1789>05>27,00334902
Local,Local,20,Marans,île d'Oléron,0003725N,Saint Nicolas,Out,In,1789=12=24,1789>12>24,00334914
France,France,44,Marennes,Libourne,0004224N,Notre Dame de Condas,Out,In,1789=08=31,1789>08>31,00337749
France,France,4,Marans,Côtes de Bretagne,0004284N,Saint Jean,Out,In,1789=07=20,1789>07>20,00336530
France,France,4,Marans,Côtes de Bretagne,0004284N,Saint Jean,Out,In,1789=08=03,1789>08>03,00336545
France,Local,57,Marennes,Caen ,0004371N,Saint Pierre,Out,In,1789=04=25,1789>04>25,00338764
France,France,15,Marans,Côtes de Bretagne,0004361N,Saint Jean,Out,In,1789=09=08,1789>09>08,00336584
France,France,4,Marans,Côtes de Bretagne,0004361N,Sainte Jeanne,Out,In,1789=12=31,1789>12>31,00336617
Local,France,26,Marans,île d'Oléron,0006298N,Sultan,Out,In,1789=05=16,1789>05>16,00332615
France,France,18,Marans,Côtes de Bretagne,0006395N,Sainte Helaine,Out,In,1789=09=26,1789>09>26,00336599
Local,Local,20,La Rochelle,Ker Châlon,,Printemps,Out,In,1789=06=03,1789>06>03,00341883
France,Local,30,Marennes,Libourne,0006729N,Espérance,Out,In,1789=05=15,1789>05>15,00337717
France,Local,30,Marennes,Blaye,0006729N,Esperance en dieu,Out,In,1789=01=26,1789>01>26,00339036
Local,France,84,La Rochelle,Seudre,0006791N,Marquis de Verdens,Out,In,1789=08=20,1789>08>20,00340376
France,France,12,La Rochelle,Locmariaquer,0007077N,Marie Olive,Out,In,1789=01=13,1789>01>13,00341141
France,France,4,Marans,Côtes de Bretagne,0007077N,Marie Olive,Out,In,1789=08=12,1789>08>12,00336554
France,France,4,Marans,Côtes de Bretagne,0007077N,Marie Olive,Out,In,1789=09=26,1789>09>26,00336601
Local,Local,18,Ribérou,île d'Oléron,0007079N,Davizard,Out,In,1789=06=19,1789>06>19,00333098
France,France,10,La Rochelle,Le Croisic,0007275N,Saint Pierre,Out,In,1789=08=19,1789>08>19,00341569
Local,Local,3,Soubise,île d'Oléron,0007464N,Suzanne,In-Out,In,1789=02=06,1789>02>06,00332721
Local,Local,3,Soubise,île d'Oléron,0007464N,Suzanne,In-Out,In,1789=02=14,1789>02>14,00332736
Local,Local,3,Soubise,île d'Oléron,0007464N,Suzanne,In-Out,In,1789=03=15,1789>03>15,00336798
Local,Local,3,Rochefort,île d'Oléron,0007464N,Suzanne,Out,In,1789=03=28,1789>03>28,00340128
Local,Local,3,La Rochelle,île d'Oléron,0007464N,Assurance,Out,In,1789=05=05,1789>05>05,00340812
Local,Local,3,La Rochelle,île d'Oléron,0007464N,Sussanne,Out,In,1789=05=15,1789>05>15,00340818
France,France,4,Marans,Locmariaquer,0007548N,Marie Françoise,Out,In,1789<01<27,1789>01>27,00339887
Local,Local,6,Ribérou,île d'Oléron,0007674N,Marie,Out,In,1789=04=16,1789>04>16,00333123
Local,Local,6,Ribérou,île d'Oléron,0007674N,Marie,Out,In,1789=01=28,1789>01>28,00333128
Local,Local,6,Ribérou,île d'Oléron,0007674N,Marie,Out,In,1789=12=04,1789>12>04,00333250
Local,Local,6,Ribérou,île d'Oléron,0007675N,Marie,Out,In,1789=04=07,1789>04>07,00332995
Local,Local,6,Ribérou,île d'Oléron,0007675N,Marie,Out,In,1789=04=23,1789>04>23,00332996
Local,Local,6,Ribérou,île d'Oléron,0007675N,Marie,Out,In,1789=07=22,1789>07>22,00333100
Local,Local,6,Ribérou,île d'Oléron,0007675N,Marie,Out,In,1789=09=21,1789>09>21,00333106
Local,Local,6,Ribérou,île d'Oléron,0007675N,Marie,Out,In,1789=12=19,1789>12>19,00333112
Local,Local,6,Ribérou,île d'Oléron,0007675N,Marie,Out,In,1789=01=28,1789>01>28,00333127
Local,Local,6,Ribérou,île d'Oléron,0007675N,Marie,Out,In,1789=07=07,1789>07>07,00333174
Local,Local,15,La Flotte-en-Ré,La Perrotine,0007677N,Espion,In-Out,In,1789=03=18,1789>03>18,00332650
Local,Local,15,Saint-Martin-de-Ré,île d'Oléron,0007677N,Espion,Out,In,1789=09=02,1789>09>02,00336171
Local,Local,20,Saint-Martin-de-Ré,île d'Oléron,0007677N,Espion,Out,In,1789=10=01,1789>10>01,00337101
Local,Local,15,La Rochelle,île d'Oléron,0007677N,Espion,Out,In,1789=04=17,1789>04>17,00340805
Local,Local,15,La Rochelle,île d'Oléron,0007677N,Espion,Out,In,1789=09=12,1789>09>12,00340861
France,France,4,La Rochelle,Le Croisic,,Saint Louis,Out,In,1789=09=12,1789>09>12,00341589
France,France,4,Marans,Côtes de Bretagne,0007891N,Saint Jacques,Out,In,1789=08=12,1789>08>12,00336555
France,France,4,Marans,Côtes de Bretagne,0007891N,Saint Jacques,Out,In,1789=08=29,1789>08>29,00336575
France,France,6,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=09=26,1789>09>26,00341601
France,France,70,Ars-en-Ré,Granville,0008296N,Comte de Saint Florentin,Out,In,1789=03=03,1789>03>03,00338144
France,France,11,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=10=03,1789>10>03,00341606
France,France,16,Marans,Côtes de Bretagne,0008438N,Marie Joseph,Out,In,1789=09=29,1789>09>29,00336605
France,France,15,Marans,Côtes de Bretagne,0008439N,Marie Joseph,Out,In,1789=08=27,1789>08>27,00336573
France,France,16,La Rochelle,Le Croisic,0008440N,Marie Joseph,Out,In,1789=08=04,1789>08>04,00341555
France,France,12,La Rochelle,Le Croisic,0008446N,Sainte Anne,Out,In,1789=07=27,1789>07>27,00341548
France,France,27,Saint-Martin-de-Ré,Locmariaquer,0008447N,Sainte Anne,Out,In,1789=07=20,1789>07>20,00336256
France,Local,49,Marennes,Libourne,0008617N,Marie Victoire,Out,In,1789=03=21,1789>03>21,00337689
France,Local,47,Marennes,Libourne,0008617N,Marie Victoire,Out,In,1789=05=09,1789>05>09,00337707
France,France,16,La Rochelle,Le Croisic,,Saint Pierre,Out,In,1789=10=12,1789>10>12,00341607
France,France,12,Marans,Côtes de Bretagne,0009535N,Marie Helaine,Out,In,1789=09=14,1789>09>14,00336589
France,France,4,Marans,Côtes de Bretagne,0009536N,Saint Sauveur,Out,In,1789=09=22,1789>09>22,00336595
France,France,2,Marans,Côtes de Bretagne,0009537N,Sainte Anne,Out,In,1789=07=27,1789>07>27,00336537
France,France,2,Marans,Côtes de Bretagne,0009537N,Sainte Anne,Out,In,1789=08=17,1789>08>17,00336559
France,France,16,Marans,Côtes de Bretagne,0009541N,Sainte Marie,Out,In,1789=09=29,1789>09>29,00336604
France,France,18,Marans,Côtes de Bretagne,0009544N,Marie Magdeleine,Out,In,1789=10=26,1789>10>26,00332636
France,France,18,Marans,Côtes de Bretagne,0009544N,Marie Madeleine,Out,In,1789=07=18,1789>07>18,00336529
France,France,4,Marans,Côtes de Bretagne,0009547N,Sainte Anne,Out,In,1789=07=28,1789>07>28,00336540
France,France,30,La Rochelle,Le Croisic,,Saint Pierre,Out,In,1789=10=23,1789>10>23,00341611
Local,Local,10,Ribérou,île d'Oléron,0009618N,Société,Out,In,1789=08=12,1789>08>12,00333147
Local,Local,15,Marans,La Tremblade,0009671N,Marie Anne,Out,In,1789=11=27,1789>11>27,00334940
Local,Local,15,Marans,La Tremblade,0009671N,Marie Anne,Out,In,1789=12=05,1789>12>05,00334941
France,France,18,La Rochelle,Le Croisic,,Marie Francoise,Out,In,1789=10=29,1789>10>29,00341612
Local,Local,20,La Rochelle,Ker Châlon,,Elisabeth,Out,In,1789=03=27,1789>03>27,00341865
Local,Local,20,La Rochelle,Ker Châlon,,Deux Amis,Out,In,1789=04=09,1789>04>09,00341866
France,France,7,La Flotte-en-Ré,Arzon,0012865N,Sainte Anne,Out,In,1789=05=26,1789>05>26,00340015
France,France,11,La Rochelle,Le Croisic,0012865N,Saint Anne,Out,In,1789=11=05,1789>11>05,00341614
France,France,4,Marans,Côtes de Bretagne,0020999N,Marie Françoise,Out,In,1789=09=07,1789>09>07,00336583
France,France,16,La Flotte-en-Ré,Côtes de Bretagne,0021001N,Marie Jean,In-Out,In,1789=02=02,1789>02>02,00332588
France,France,16,La Rochelle,Vannes,0021001N,Marie Jean,Out,In,1789=01=26,1789>01>26,00340350
France,France,4,Marans,Côtes de Bretagne,0021027N,Sainte Anne,Out,In,1789=08=17,1789>08>17,00336558
France,France,12,Marans,Côtes de Bretagne,0021173N,Marie,Out,In,1789=08=24,1789>08>24,00336568
France,France,4,Marans,Côtes de Bretagne,0021256N,Sainte Marie,Out,In,1789=07=21,1789>07>21,00336532
Reste du monde,Reste du monde,120,Saint-Martin-de-Ré,Boston,0021539N,Marguerite,Out,In,1789=08=26,1789>08>26,00333530
France,France,76,Marennes,Honfleur,0021551N,Judith Marie,Out,In,1789=07=06,1789>07>06,00337993
France,France,25,La Tranche-sur-Mer,Bordeaux,,Jeanne Marguerite,Out,In,1789=10=16,1789>10>16,00332702
Local,France,30,La Flotte-en-Ré,La Perrotine,,Marguerite,In-Out,In,1789=10=23,1789>10>23,00332710
Local,Local,6,Ribérou,île d'Oléron,,Bonne Mere,Out,In,1789=05=14,1789>05>14,00333093
Local,Local,15,Ribérou,île d'Oléron,,Deux Freres,Out,In,1789=06=03,1789>06>03,00333096
Local,Local,12,Ribérou,île d'Oléron,,Marguerite,Out,In,1789=08=21,1789>08>21,00333101
Local,Local,18,Ribérou,île d'Oléron,,Marie Françoise,Out,In,1789=09=30,1789>09>30,00333107
Local,Local,3,Rochefort,île d'Oléron,,Doeux sœurs,Out,In,1789=10=31,1789>10>31,00333120
Local,Local,6,Ribérou,île d'Oléron,,Bonne Mere,Out,In,1789=04=03,1789>04>03,00333137
Local,Local,14,Ribérou,île d'Oléron,,Marie Anne,Out,In,1789=08=21,1789>08>21,00333148
Local,Local,8,Ribérou,île d'Oléron,,Elizabeth,Out,In,1789=07=14,1789>07>14,00333249
Europe,Europe,120,Saint-Martin-de-Ré,Frederikshald / Halden,,Karen,Out,In,1789=10=07,1789>10>07,00333509
Grande-Bretagne,Grande-Bretagne,110,Rochefort,Bristol,,Cognac,Out,In,1789=05=05,1789>05>05,00333523
Local,France,16,Saint-Martin-de-Ré,Marennes,,Emanuel,Out,In,1789=05=15,1789>05>15,00333594
France,France,27,La Flotte-en-Ré,Quiberon,,Marie Louise,In-Out,In,1789=05=27,1789>05>27,00333595
Local,Local,12,Ribérou,île d'Oléron,,Marguerite,Out,In,1789=12=12,1789>12>12,00333618
Local,Local,12,Ribérou,île d'Oléron,,Magdeleine,Out,In,1789=11=28,1789>11>29,00333621
Local,Local,17,Noirmoutier,île d'Yeu,,Feldzaine,Out,In,1789=06=10,1789>06>10,00333895
Local,Local,16,Marans,île d'Oléron,,Société,Out,In,1789=10=22,1789>10>22,00334907
France,France,18,Marennes,Quiberon,,Cerf,Out,In,1789=09=15,1789>09>15,00336121
Local,Local,20,La Rochelle,Ker Châlon,,Saint Pierre,Out,In,1789=04=18,1789>04>18,00341867
Local,Local,32,Marans,Saint-Savinien,,Saint Pierre,Out,In,1789=08=26,1789>08>26,00336083
Local,Local,20,La Rochelle,Ker Châlon,,Heureux Commerce,Out,In,1789=04=27,1789>04>27,00341869
Local,Local,20,La Rochelle,Ker Châlon,,Deux Amis,Out,In,1789=05=07,1789>05>07,00341871
France,France,30,Marennes,Quiberon,,Saint Jullien,Out,In,1789=09=01,1789>09>01,00336120
Local,Local,20,La Rochelle,Ker Châlon,,Saint Pierre,Out,In,1789=05=13,1789>05>13,00341872
Local,Local,20,La Rochelle,Ker Châlon,,Heureux Commerce,Out,In,1789=05=15,1789>05>15,00341873
France,France,18,Mortagne,Quiberon,,Saint Louis,Out,In,1789=06=08,1789>06>08,00336122
France,France,19,Mortagne,Quiberon,,Rosalie,Out,In,1789=07=11,1789>07>11,00336124
France,France,30,Mortagne,Quiberon,,Saint Julien,Out,In,1789=10=15,1789>10>15,00336126
France,France,20,Ribérou,Quiberon,,Victoire,Out,In,1789=08=24,1789>08>24,00336127
France,France,15,Ribérou,Quiberon,,Victoire,Out,In,1789=09=21,1789>09>21,00336128
France,France,20,Ribérou,Quiberon,,Félicité,Out,In,1789=09=28,1789>09>28,00336129
France,France,22,Saint-Martin-de-Ré,Quiberon,,Notre Dame,Out,In,1789=10=20,1789>10>20,00336135
France,France,33,Saint-Martin-de-Ré,Quiberon,,Sainte Anne,Out,In,1789=11=18,1789>11>18,00336136
Local,Local,15,Marans,île d'Oléron,,Marie Brigite,Out,In,1789=07=22,1789>07>22,00336146
France,Local,43,Marennes,Libourne,,Providence,Out,In,1789=02=09,1789>02>09,00337677
Local,Local,27,Marans,île d'Oléron,,Sainte Anne,Out,In,1789=08=27,1789>08>27,00336148
Local,Local,27,Marans,île d'Oléron,,Sainte Anne,Out,In,1789=09=16,1789>09>16,00336151
Local,Local,19,Saint-Martin-de-Ré,île d'Oléron,,Marie Anne,Out,In,1789=01=29,1789>01>29,00336157
Local,Local,36,Saint-Martin-de-Ré,île d'Oléron,,Saint François,Out,In,1789=08=26,1789>08>26,00336169
Local,Local,20,La Rochelle,île d'Oléron,,Deux Sœurs,Out,In,1789=03=31,1789>03>31,00340800
Local,France,30,Saint-Martin-de-Ré,île d'Oléron,,Augustin,Out,In,1789=10=25,1789>10>25,00336175
France,France,18,Noirmoutier,Méan,,Petit Guillaume,Out,In,1789=10=28,1789>10>28,00336217
France,France,24,Saint-Martin-de-Ré,Côtes de Bretagne,,Notre Dame de Consolation,Out,In,1789=04=01,1789>04>01,00336324
France,France,10,Ribérou,Côtes de Bretagne,,Marianne,Out,In,1789=08=12,1789>08>12,00336366
Local,Local,6,La Rochelle,île d'Oléron,,Deux Sœurs,Out,In,1789=04=01,1789>04>01,00340801
France,France,10,Ribérou,Côtes de Bretagne,,Marianne,Out,In,1789=09=17,1789>09>17,00336424
France,France,10,Ribérou,Côtes de Bretagne,,Saint Vincent,Out,In,1789=09=23,1789>09>23,00336429
France,France,10,Ribérou,Côtes de Bretagne,,Providence,Out,In,1789=11=02,1789>11>02,00336458
France,France,10,Ribérou,Côtes de Bretagne,,Emulation,Out,In,1789=12=09,1789>12>09,00336464
Local,Grande-Bretagne,190,La Rochelle,île d'Oléron,,Emerson,Out,In,1789=04=24,1789>04>24,00340810
Local,Local,20,Saint-Martin-de-Ré,Ker Châlon,,Printemps,Out,In,1789=06=23,1789>06>23,00336521
Local,Local,20,Saint-Martin-de-Ré,Ker Châlon,,Printemps,Out,In,1789=08=29,1789>08>29,00336524
France,France,12,Marans,Côtes de Bretagne,,Sainte Anne,Out,In,1789=08=24,1789>08>24,00336566
France,France,27,Marans,Côtes de Bretagne,,Saint Vincent,Out,In,1789=09=01,1789>09>01,00336577
Local,Local,45,La Rochelle,île d'Oléron,,Elisabeth,Out,In,1789=11=06,1789>11>06,00340871
France,France,18,Marans,Côtes de Bretagne,,Saint Pierre,Out,In,1789=11=05,1789>11>05,00336610
France,Ports francs et petites îles,38,Saint-Denis d'Oléron,Côtes de Bretagne,,Marie Perine,Out,In,1789=03=19,1789>03>19,00336619
Local,France,28,Noirmoutier,île de Bouin,,Sainte Anne,Out,In,1789=11=25,1789>11>25,00336630
France,France,15,Saint-Denis d'Oléron,Belle-Île-en-Mer,,Marie Thérèse,Out,In,1789=03=21,1789>03>21,00336640
France,France,6,Saint-Martin-de-Ré,Belle-Île-en-Mer,,Sainte Anne,Out,In,1789=08=01,1789>08>01,00336641
France,France,30,Saint-Martin-de-Ré,Belle-Île-en-Mer,,Auguste,Out,In,1789=11=12,1789>11>12,00336643
Europe,Europe,150,Saint-Martin-de-Ré,Amsterdam,,Jeane Saacke,Out,In,1789=08=12,1789>08>12,00336653
France,France,30,Rochefort,La Teste,,Bienvenu,Out,In,1789=09=04,1789>09>04,00337078
France,France,36,Rochefort,La Teste,,Saint Jean,Out,In,1789=01=31,1789>01>31,00337082
Local,Local,12,Saint-Martin-de-Ré,île d'Oléron,,Suzanne,Out,In,1789=05=06,1789>05>06,00337096
Local,Local,36,Saint-Martin-de-Ré,île d'Oléron,,Saint François,Out,In,1789=07=25,1789>07>25,00337098
Local,Local,40,Saint-Martin-de-Ré,Marennes,,Madelaine,Out,In,1789=07=20,1789>07>20,00337109
France,France,16,La Rochelle,Vannes,,Sainte Anne,Out,In,1789=08=24,1789>08>24,00340352
Europe,Europe,45,Saint-Martin-de-Ré,Stavanger,,Héron bleu,Out,In,1789=09=04,1789>09>04,00337259
Europe,Europe,200,Saint-Martin-de-Ré,Stavanger,,Sophie Secille,Out,In,1789=01=01,1789>01>01,00337261
Europe,Europe,230,Ars-en-Ré,Stavanger,,Hendrika Maria,Out,In,1789=04=30,1789>04>30,00337265
Local,Local,20,La Rochelle,La Tremblade,,Franc Maçon,Out,In,1789=04=04,1789>04>04,00341149
Europe,Europe,70,Ars-en-Ré,Stavanger,,Anne Catherinne,Out,In,1789=06=04,1789>06>04,00337266
Europe,Europe,80,Ars-en-Ré,Stavanger,,Deux Anne et Magdeleine,Out,In,1789=07=15,1789>07>15,00337267
Europe,Europe,117,Ars-en-Ré,Stavanger,,Cathrinne,Out,In,1789=08=29,1789>08>29,00337268
Local,France,50,La Rochelle,Seudre,,Ville de Fécamp,Out,In,1789=07=09,1789>07>09,00340375
France,France,80,Ars-en-Ré,Saint-Malo,,Nancy,Out,In,1789=09=23,1789>09>23,00337324
France,France,42,Ars-en-Ré,Saint-Malo,,Heureuse Marie,Out,In,1789=09=24,1789>09>24,00337325
France,France,155,Ars-en-Ré,Saint-Malo,,Arrada,Out,In,1789=11=04,1789>11>04,00337328
France,France,65,Ars-en-Ré,Saint-Malo,,Felicité,Out,In,1789=11=13,1789>11>13,00337330
France,France,163,Ars-en-Ré,Saint-Malo,,Jumeaux,Out,In,1789=11=15,1789>11>15,00337331
Local,Local,20,La Rochelle,La Tremblade,,Franc Masson,Out,In,1789=08=31,1789>08>31,00341153
France,France,40,Ars-en-Ré,Saint-Malo,,Saint Malo,Out,In,1789=12=07,1789>12>07,00337334
France,France,54,Ars-en-Ré,Saint-Brieuc,,Saint Charles,Out,In,1789=03=16,1789>03>16,00337344
France,France,55,Ars-en-Ré,Saint-Brieuc,,Flore,Out,In,1789=11=04,1789>11>04,00337345
Local,Local,25,Ars-en-Ré,Les Sables-d'Olonne,,Bien Aimé,Out,In,1789=11=11,1789>11>11,00337350
Local,Local,20,La Rochelle,Ker Châlon,,Elisabeth,Out,In,1789=05=23,1789>05>23,00341875
Europe,Europe,95,Marennes,Rotterdam,,Liberté,Out,In,1789=08=11,1789>08>11,00337352
Europe,Europe,130,Ars-en-Ré,Mer Baltique,,Maria Johana Gerada,Out,In,1789=04=30,1789>04>30,00337661
Europe,Europe,200,Ars-en-Ré,Mer Baltique,,Demoiselle Leesie Tekelaer,Out,In,1789=05=28,1789>05>28,00337662
Europe,Reste du monde,75,Ars-en-Ré,Mer Baltique,,Deux Frères,Out,In,1789=06=16,1789>06>16,00337663
France,France,39,Marennes,Libourne,,Aimable Suzanne,Out,In,1789=01=12,1789>01>12,00337671
France,Local,38,Marennes,Libourne,,Saint Francois,Out,In,1789=03=13,1789>03>13,00337685
France,Local,48,Marennes,Libourne,,Catherinne,Out,In,1789=03=16,1789>03>16,00337687
France,Local,41,Marennes,Libourne,,Chasseur,Out,In,1789=03=30,1789>03>30,00337691
France,Local,36,Marennes,Libourne,,Providance,Out,In,1789=04=16,1789>04>16,00337695
France,Local,27,Marennes,Libourne,,Saint Paul,Out,In,1789=04=16,1789>04>16,00337696
France,Local,38,Marennes,Libourne,,Geneviéve,Out,In,1789=04=17,1789>04>17,00337697
France,Local,39,Marennes,Libourne,,Chasseur,Out,In,1789=05=04,1789>05>04,00337703
France,Local,26,Marennes,Libourne,,Marie Anne,Out,In,1789=05=05,1789>05>05,00337704
France,Local,28,Marennes,Libourne,,Saint Antoine,Out,In,1789=05=06,1789>05>06,00337705
France,Local,30,Marennes,Libourne,,Saint Luc,Out,In,1789=05=07,1789>05>07,00337706
France,Local,39,Marennes,Libourne,,Genevieve,Out,In,1789=05=11,1789>05>11,00337708
France,Local,26,Marennes,Libourne,,Saint Jaques,Out,In,1789=05=23,1789>05>23,00337720
Europe,Europe,292,Noirmoutier,Königsberg / Kaliningrad,,Espérance,Out,In,1789=08=06,1789>08>06,00337860
France,France,135,Marennes,Honfleur,,Jean Marie,Out,In,1789=03=20,1789>03>20,00337867
France,France,160,Ars-en-Ré,Granville,,Bonne Mere,Out,In,1789=01=17,1789>01>17,00338136
France,France,190,Ars-en-Ré,Granville,,Heureuse Charlotte,Out,In,1789=02=19,1789>02>19,00338142
France,France,63,Ars-en-Ré,Granville,,Marie Jeanne,Out,In,1789=03=03,1789>03>03,00338143
Local,Local,3,Saint-Michel-en-l'Herm,île de Ré,,Elizabeth,Out,In,1789=03=23,1789>03>23,00341458
France,France,130,Ars-en-Ré,Granville,,Jeune Atheninenne,Out,In,1789=03=21,1789>03>21,00338148
France,France,50,Ars-en-Ré,Granville,,Jean Baptise,Out,In,1789=07=20,1789>07>20,00338150
France,France,75,Ars-en-Ré,Granville,,Jeune Julie,Out,In,1789=09=26,1789>09>26,00338151
France,France,50,Ars-en-Ré,Granville,,Reine des anges,Out,In,1789=10=08,1789>10>08,00338152
Europe,Europe,120,La Rochelle,Hambourg,,Jeune Pierre,Out,In,1789=03=27,1789>03>27,00341471
France,France,90,Ars-en-Ré,Granville,,Therese,Out,In,1789=10=18,1789>10>18,00338153
Europe,Europe,89,Marennes,Dordrecht ,,Jeune Velmy,Out,In,1789=07=21,1789>07>21,00338350
Europe,Grande-Bretagne,252,Marennes,Dordrecht ,,Merson,Out,In,1789=08=31,1789>08>31,00338352
Grande-Bretagne,Grande-Bretagne,90,Ars-en-Ré,Dartmouth,,Jean,Out,In,1789=03=09,1789>03>09,00338373
France,France,71,Marennes,Calais,,Aimable Jeanne Francoise,Out,In,1789=10=14,1789>10>14,00338730
France,France,69,Marennes,Caen ,,Seraphin,Out,In,1789=03=13,1789>03>13,00338734
Reste du monde,Reste du monde,100,Noirmoutier,Boston,,Polly,Out,In,1789=08=11,1789>08>11,00338809
Europe,Europe,70,Saint-Martin-de-Ré,Bergue ,,Fortune,Out,In,1789=09=09,1789>09>09,00339052
Europe,Europe,60,Saint-Martin-de-Ré,Bergue ,,Anne Chaterine,Out,In,1789=10=01,1789>10>01,00339053
Europe,Europe,60,Saint-Martin-de-Ré,Bergue ,,Anne yde Catherine,Out,In,1789=10=07,1789>10>07,00339054
Europe,Europe,70,Saint-Martin-de-Ré,Bergue ,,Esperance,Out,In,1789=10=17,1789>10>17,00339055
Europe,Europe,75,Ars-en-Ré,Bergue ,,Fortune,Out,In,1789=07=22,1789>07>22,00339056
Europe,Europe,120,La Rochelle,Hambourg,,Jeune Pierre,Out,In,1789=08=01,1789>08>01,00341473
Europe,Europe,70,Ars-en-Ré,Bergue ,,Fortune,Out,In,1789=09=25,1789>09>25,00339057
Europe,Europe,76,Ars-en-Ré,Bergue ,,Fortune,Out,In,1789=10=08,1789>10>08,00339058
Europe,Europe,150,Ars-en-Ré,Bergue ,,Dame Anne,Out,In,1789=10=08,1789>10>08,00339060
Europe,Europe,90,Noirmoutier,Bergue ,,Saint Nicolas,Out,In,1789=01=29,1789>01>29,00339061
France,France,15,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=07=09,1789>07>09,00341531
Ports francs et petites îles,Local,53,Marennes,Bayonne,,Elizabeth,Out,In,1789=05=30,1789>05>30,00339072
Ports francs et petites îles,Ports francs et petites îles,66,Marennes,Bayonne,,Saint Louis,Out,In,1789=10=16,1789>10>16,00339096
Europe,Grande-Bretagne,144,Noirmoutier,Mer Baltique,,Augmentation de la Providence,Out,In,1789=05=09,1789>05>09,00339146
Europe,Europe,150,Noirmoutier,Mer Baltique,,Proprietté,Out,In,1789=07=24,1789>07>24,00339154
France,France,20,La Rochelle,Le Croisic,,Marie Francoise,Out,In,1789=07=11,1789>07>11,00341532
Local,Local,26,Ars-en-Ré,Port-d'Envaux,,Marie Magdeleine,Out,In,1789=08=22,1789>08>22,00339164
Europe,France,152,Saint-Martin-de-Ré,Amsterdam,,Brun,Out,In,1789=04=10,1789>04>10,00339558
France,Local,10,Ribérou,Bordeaux,,Saint Pierre,Out,In,1789=08=14,1789>08>14,00339637
Local,France,19,Saint-Martin-de-Ré,Marennes,,Saint Joseph,Out,In,1789=02=20,1789>02>20,00339751
Local,Local,16,Saint-Martin-de-Ré,Les Sables-d'Olonne,,Deux Amis,Out,In,1789=07=29,1789>07>29,00339817
France,France,25,La Flotte-en-Ré,Quiberon,,Marie Francoise,In-Out,In,1789=03=05,1789>03>05,00339836
France,France,10,La Perrotine,Quiberon,,Reine des Anges,Out,In,1789=01=15,1789>01>15,00339837
France,France,22,Saint-Martin-de-Ré,Quiberon,,Notre Dame,Out,In,1789=12=19,1789>12>19,00339838
France,France,7,La Flotte-en-Ré,Auray,,Sainte Anne,In-Out,In,1789=03=26,1789>03>26,00339847
Local,Local,12,Marennes,île d'Yeu,,Sainte Anne,Out,In,1789=03=30,1789>03>30,00339914
Local,Local,12,Marennes,île d'Yeu,,Sainte Anne,Out,In,1789=11=26,1789>11>26,00339916
Local,Local,2,La Flotte-en-Ré,île d'Yeu,,Courier,In-Out,In,1789=04=10,1789>04>10,00339921
Local,Local,17,Ribérou,île d'Yeu,,Bélizer,Out,In,1789=02=16,1789>02>16,00339924
Local,Local,12,Ribérou,île d'Yeu,,Aimable Jeanne,Out,In,1789=03=14,1789>03>14,00339926
Local,Local,12,Ribérou,île d'Yeu,,Aimable Jeanne,Out,In,1789=05=08,1789>05>08,00339927
Local,Local,12,Ribérou,île d'Yeu,,Aimable Jeanne,Out,In,1789=09=10,1789>09>10,00339931
France,France,10,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=07=14,1789>07>14,00341535
Local,Local,12,Ribérou,île d'Yeu,,Aimable Jeanne,Out,In,1789=10=28,1789>10>28,00339932
France,France,15,La Flotte-en-Ré,Côtes de Bretagne,,Esperance,In-Out,In,1789=04=30,1789>04>30,00339938
France,Local,19,La Flotte-en-Ré,Côtes de Bretagne,,Esperance,In-Out,In,1789=03=16,1789>03>16,00339949
France,France,27,La Flotte-en-Ré,Côtes de Bretagne,,Renommée,In-Out,In,1789=07=01,1789>07>01,00339950
France,France,10,La Flotte-en-Ré,Côtes de Bretagne,,Sainte Anne,In-Out,In,1789=11=16,1789>11>16,00339951
France,France,28,Saint-Denis d'Oléron,Côtes de Bretagne,,Saint Antoine,Out,In,1789=05=06,1789>05>06,00339964
France,France,26,Saint-Denis d'Oléron,Côtes de Bretagne,,Marie Françoise,Out,In,1789=04=28,1789>04>28,00339993
France,France,34,Marennes,Belle-Île-en-Mer,,La Nouvelle Union,Out,In,1789=08=12,1789>08>12,00339996
France,France,36,Marennes,Belle-Île-en-Mer,,Nouvelle Union,Out,In,1789=01=17,1789>01>17,00340000
