destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Europe,Europe,174,Saint-Martin-de-Ré,Lübeck,0003939N,Jacob,Out,In,1789=05=29,1789>05>29,00340055
France,Local,50,Tonnay-Charente,Nantes,0004179N,Deux Cousines,Out,In,1789=07=22,1789>07>22,00340900
France,France,10,Ribérou,Locmariaquer,0004361N,Saint Jean,Out,In,1789=02=07,1789>02>07,00339884
Local,Europe,42,Marans,La Tranche-sur-Mer,0006315N,Fortune,Out,In,1789=08=24,1789>08>24,00336259
France,France,10,Ribérou,Arzon,0006316N,Saint Vincent,Out,In,1789<12<30,1789>12>30,00340013
Local,Local,10,Saint-Denis d'Oléron,pertuis Breton,0006325N,La Julie,Out,In,1789=03=24,1789>03>24,00333561
Local,Local,10,Saint-Denis d'Oléron,Rochefort,0006325N,Jullis,Out,In,1789=12=02,1789>12>02,00339832
France,France,28,Marans,Méan,0006453N,Sainte Anne Françoise,Out,In,1789=03=07,1789>03>07,00334957
Europe,Local,15,Marans,pas identifié,0006487N,Marie Lagrange,Out,In,1789=06=16,1789>06>16,00335010
Local,Local,39,Rochefort,Tonnay-Charente,0006492N,Saint Nicolas,Out,In,1789=07=31,1789>07>31,00340282
Local,Local,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=01=21,1789>01>21,00341175
Local,Local,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=02=11,1789>02>11,00341192
Local,Local,37,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=03=16,1789>03>16,00341215
Local,Local,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=04=11,1789>04>11,00341234
Local,Local,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=06=10,1789>06>10,00341266
Local,Local,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=08=08,1789>08>08,00341306
Local,Local,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=08=26,1789>08>26,00341320
Local,Local,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=10=23,1789>10>23,00341361
Local,Local,37,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=11=17,1789>11>17,00341382
Local,Local,39,La Rochelle,Tonnay-Charente,0006492N,Saint Nicolas,Out,In,1789=01=27,1789>01>27,00341657
Local,Local,39,La Rochelle,Tonnay-Charente,0006492N,Saint Nicolas,Out,In,1789=02=18,1789>02>18,00341670
Local,Local,39,La Rochelle,Tonnay-Charente,0006492N,Saint Nicolas,Out,In,1789=03=28,1789>03>28,00341697
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angélique de l' Houmée,Out,In,1789=01=27,1789>01>27,00341181
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angélique,Out,In,1789=03=04,1789>03>04,00341208
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=04=06,1789>04>06,00341232
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=05=05,1789>05>05,00341247
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=05=30,1789>05>30,00341262
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Engelique,Out,In,1789=07=01,1789>07>01,00341280
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=07=20,1789>07>20,00341293
Local,Local,32,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=08=08,1789>08>08,00341307
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Engelique,Out,In,1789=09=21,1789>09>21,00341335
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=10=22,1789>10>22,00341358
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=11=25,1789>11>25,00341384
Local,Local,38,Tonnay-Charente,La Rochelle,0006507N,Angelique,Out,In,1789=12=21,1789>12>21,00341399
Local,Local,38,La Rochelle,Tonnay-Charente,0006507N,Angélique,Out,In,1789=11=01,1789>11>01,00341830
France,Local,50,Saint-Gilles-sur-Vie,Nantes,0006655N,Trois Maries,Out,In,1789=12=04,1789>12>04,00333845
Europe,Local,5,Saint-Michel-en-l'Herm,pas mentionné,0012945N,Dromadaire,Out,In,1789=12=03,1789>12>03,00342170
Local,Local,18,Marans,île d'Yeu,0006760N,Heureuse Mignonne,Out,In,1789=05=13,1789>05>13,00336317
France,France,6,Marans,Port-Navalo,0006892N,Providence,Out,In,1789=07=13,1789>07>13,00336139
Local,Local,35,île de Bouin,île de Bouin,0007076N,Bien aimé,Out,In,1789<05<30,1789>05>30,00341990
Local,Local,15,Saint-Denis d'Oléron,Saint-Martin-de-Ré,0007079N,Davizard,Out,In,1789=09=10,1789>09>10,00333557
Local,Local,32,La Rochelle,Dercie,0007382N,Marie Charlotte,Out,In,1789=08=28,1789>08>28,00341520
Local,Local,32,La Rochelle,Dercie,0007382N,Marie Charlotte,Out,In,1789=09=11,1789>09>11,00341521
Local,Ports francs et petites îles,15,Noirmoutier,île de Ré,0007109N,Espérance,Out,In,1789=08=03,1789>08>03,00333896
Local,Ports francs et petites îles,15,Noirmoutier,île d'Oléron,0007109N,Espérance,Out,In,1789=10=29,1789>10>29,00333908
France,Ports francs et petites îles,15,Noirmoutier,Courreaux de Groix,0007109N,Espérance,Out,In,1789=01=26,1789>01>26,00333910
Ports francs et petites îles,Ports francs et petites îles,15,La Perrotine,Noirmoutier,0007109N,Espérance,Out,In,1789=02=27,1789>02>27,00339853
Ports francs et petites îles,Ports francs et petites îles,15,La Perrotine,Noirmoutier,0007109N,Esperance,Out,In,1789=06=15,1789>06>15,00339855
Ports francs et petites îles,Ports francs et petites îles,280,île de Bouin,Dunkerque,0007128N,Notre Dame,Out,In,1789=11=23,1789>11>23,00339309
