"pointcall","ferme_bureau","tonnage","pointcall","pointcall_province","substate_1789_fr","state_1789_fr","partner_balance_supp_1789","destination_radar"
La Flotte en Ré,Saint-Martin île de Ré,4,Oléron,Saintonge,,France,France,Local
La Rochelle,La Rochelle,26,Oléron,Saintonge,,France,France,Local
Charente,Charente,20,Ile de Ré,Aunis,,France,France,Local
La Rochelle,La Rochelle,36,Moricq,Poitou,,France,France,Local
Marennes,Marennes,50,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,17,La Tranche sur Mer,Poitou,,France,France,Local
La Rochelle,La Rochelle,40,Marennes,Saintonge,,France,France,Local
La Rochelle,La Rochelle,36,Marennes,Saintonge,,France,France,Local
Charente,Charente,36,Marennes,Saintonge,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,4,La Rochelle,Aunis,,France,France,Local
Rochefort,Rochefort,82,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,110,Seudre,Saintonge,,France,France,Local
La Rochelle,La Rochelle,84,Seudre,Saintonge,,France,France,Local
Rochefort,Rochefort,5,Charente,Aunis,,France,France,Local
Rochefort,Rochefort,100,Charente,Aunis,,France,France,Local
Charente,Charente,12,Ile de Ré,Aunis,,France,France,Local
La Rochelle,La Rochelle,20,Chalon,Saintonge,,France,France,Local
La Rochelle,La Rochelle,10,Rochefort,Aunis,,France,France,Local
Charente,Charente,35,Oléron,Saintonge,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,30,La Rochelle,Aunis,,France,France,Local
Charente,Charente,37,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,39,La Rochelle,Aunis,,France,France,Local
Le Chateau [d' Oléron],Marennes,8,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,32,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,38,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,40,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,39,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,3,Chaput,Saintonge,,France,France,Local
La Rochelle,La Rochelle,20,Chalon,Saintonge,,France,France,Local
La Rochelle,La Rochelle,36,Rochefort,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,22,La Rochelle,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,33,La Rochelle,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,30,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,20,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,27,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,15,Ars en Ré,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,4,Oléron,Saintonge,,France,France,Local
La Rochelle,La Rochelle,18,Marennes,Saintonge,,France,France,Local
Sables d' Olonne,Sables d'Olonne,4,Ile de Ré,Aunis,,France,France,Local
Marennes,Marennes,3,La Rochelle,Aunis,,France,France,Local
Charente,Charente,37,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,39,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,32,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,20,Rochefort,Aunis,,France,France,Local
La Rochelle,La Rochelle,6,Rivedoux,Aunis,,France,France,Local
La Rochelle,La Rochelle,20,Sables d' Olonne,Poitou,,France,France,Local
La Rochelle,La Rochelle,60,Rochefort,Aunis,,France,France,Local
La Rochelle,La Rochelle,20,Moricq,Poitou,,France,France,Local
Charente,Charente,32,Royan,Saintonge,,France,France,Local
Charente,Charente,30,Ile de Ré,Aunis,,France,France,Local
Charente,Charente,55,Marennes,Saintonge,,France,France,Local
Charente,Charente,36,Aligre de Marans,Aunis,,France,France,Local
La Rochelle,La Rochelle,40,Rochefort,Aunis,,France,France,Local
La Rochelle,La Rochelle,34,Sables d' Olonne,Poitou,,France,France,Local
La Rochelle,La Rochelle,2,Sables d' Olonne,Poitou,,France,France,Local
La Rochelle,La Rochelle,38,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,60,Charente,Aunis,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,32,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Rochefort,Rochefort,75,Oléron,Saintonge,,France,France,Local
Rochefort,Rochefort,25,Charente,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,20,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,43,Aligre de Marans,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
La Perrotine,Marennes,6,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,39,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,32,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,40,Charente,Aunis,,France,France,Local
Charente,Charente,32,Ile de Ré,Aunis,,France,France,Local
Noirmoutier,Sables d'Olonne,24,Oléron,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,8,Aligre de Marans,Aunis,,France,France,Local
Aligre de Marans,Alligre,36,Rochefort,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,26,Charente,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,8,Oléron,Saintonge,,France,France,Local
Aligre de Marans,Alligre,36,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,Ile de Ré,Aunis,,France,France,Local
Aligre de Marans,Alligre,26,Rochefort,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,14,Oléron,Saintonge,,France,France,Local
Rochefort,Rochefort,37,La Rochelle,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,6,Oléron,Saintonge,,France,France,Local
Noirmoutier,Sables d'Olonne,15,La Tremblade,Saintonge,,France,France,Local
Ribérou [Saujon],Marennes,20,Oléron,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,26,Aligre de Marans,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,30,Aligre de Marans,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,15,Oléron,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,24,Marennes,Saintonge,,France,France,Local
Saint Denis [d' Oléron],Marennes,6,Rochefort,Aunis,,France,France,Local
Marennes,Marennes,24,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,8,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,28,La Rochelle,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,36,Oléron,Saintonge,,France,France,Local
La Rochelle,La Rochelle,30,Charente,Aunis,,France,France,Local
Marennes,Marennes,20,Aligre de Marans,Aunis,,France,France,Local
Charente,Charente,37,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,38,Charente,Aunis,,France,France,Local
Charente,Charente,45,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,Marennes,Saintonge,,France,France,Local
Charente,Charente,38,Marennes,Saintonge,,France,France,Local
Le Chateau [d' Oléron],Marennes,10,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,38,Charente,Aunis,,France,France,Local
Charente,Charente,30,La Tremblade,Saintonge,,France,France,Local
La Rochelle,La Rochelle,20,Saint Martin de Ré,Aunis,,France,France,Local
Sables d' Olonne,Sables d'Olonne,24,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
La Rochelle,La Rochelle,8,Saint Martin de Ré,Aunis,,France,France,Local
La Rochelle,La Rochelle,20,Rochefort,Aunis,,France,France,Local
Charente,Charente,30,Ile de Ré,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,16,Sables d' Olonne,Poitou,,France,France,Local
Saint Denis [d' Oléron],Marennes,12,La Rochelle,Aunis,,France,France,Local
Saint Denis [d' Oléron],Marennes,10,La Rochelle,Aunis,,France,France,Local
La Tranche sur Mer,Sables d'Olonne,1,La Rochelle,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,60,Marennes,Saintonge,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,70,La Rochelle,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,30,Charente,Aunis,,France,France,Local
Sables d' Olonne,Sables d'Olonne,24,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,Charente,Aunis,,France,France,Local
Marennes,Marennes,18,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,22,Oléron,Saintonge,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,35,La Rochelle,Aunis,,France,France,Local
Charente,Charente,35,Aligre de Marans,Aunis,,France,France,Local
Charente,Charente,35,La Tremblade,Saintonge,,France,France,Local
Charente,Charente,23,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,20,La Perrotine,Saintonge,,France,France,Local
La Rochelle,La Rochelle,20,Rochefort,Aunis,,France,France,Local
La Rochelle,La Rochelle,40,Marennes,Saintonge,,France,France,Local
La Rochelle,La Rochelle,20,Le Plomb,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,30,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,54,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,20,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,25,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,39,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,30,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,37,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,30,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,30,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,30,La Rochelle,Aunis,,France,France,Local
Charente,Charente,35,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,39,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,60,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,45,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,24,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,30,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Charente,Charente,24,La Rochelle,Aunis,,France,France,Local
Charente,Charente,36,La Rochelle,Aunis,,France,France,Local
Charente,Charente,50,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,35,La Rochelle,Aunis,,France,France,Local
Charente,Charente,38,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,50,La Rochelle,Aunis,,France,France,Local
Charente,Charente,39,La Rochelle,Aunis,,France,France,Local
Charente,Charente,32,La Rochelle,Aunis,,France,France,Local
Charente,Charente,25,La Rochelle,Aunis,,France,France,Local
Charente,Charente,50,La Rochelle,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,33,La Rochelle,Aunis,,France,France,Local
La Rochelle,La Rochelle,26,Sables d' Olonne,Poitou,,France,France,Local
La Rochelle,La Rochelle,38,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,Marennes,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,9,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,50,Charente,Aunis,,France,France,Local
Noirmoutier,Sables d'Olonne,17,Ile d' Yeu,Poitou,,France,France,Local
Aligre de Marans,Alligre,25,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,18,Oléron,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,9,Moricq,Poitou,,France,France,Local
Sables d' Olonne,Sables d'Olonne,32,Ile de Ré,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,32,Charente,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,30,Charente,Aunis,,France,France,Local
Rochefort,Rochefort,34,Marennes,Saintonge,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
Marennes,Marennes,32,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,6,Rochefort,Aunis,,France,France,Local
Marennes,Marennes,30,Rochefort,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,15,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,26,La Perrotine,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,30,Moricq,Poitou,,France,France,Local
Marennes,Marennes,21,Aligre de Marans,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,20,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,30,Saint Martin de Ré,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,2,Sables d' Olonne,Poitou,,France,France,Local
Marennes,Marennes,70,Charente,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,32,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,35,Charente,Aunis,,France,France,Local
Marennes,Marennes,37,Charente,Aunis,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,15,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,16,Saint Savinien,Saintonge,,France,France,Local
Marennes,Marennes,12,La Rochelle,Aunis,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,15,Moricq,Poitou,,France,France,Local
Rochefort,Rochefort,60,Charente,Aunis,,France,France,Local
Rochefort,Rochefort,55,Saint André de Cuzac,Aunis,,France,France,Local
Aligre de Marans,Alligre,30,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,15,Ars en Ré,Aunis,,France,France,Local
Aligre de Marans,Alligre,5,Ars en Ré,Aunis,,France,France,Local
Aligre de Marans,Alligre,30,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Marennes,Marennes,32,Rochefort,Aunis,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,15,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,17,Aligre de Marans,Aunis,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,15,Moricq,Poitou,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,15,Moricq,Poitou,,France,France,Local
Aligre de Marans,Alligre,25,Charente,Aunis,,France,France,Local
La Tranche sur Mer,Sables d'Olonne,1,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,30,Saint Martin de Ré,Aunis,,France,France,Local
Marennes,Marennes,50,Charente,Aunis,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,26,Anveaux,Saintonge,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,5,Aligre de Marans,Aunis,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,4,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,40,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,32,Aligre de Marans,Aunis,,France,France,Local
Aligre de Marans,Alligre,25,Saint Martin de Ré,Aunis,,France,France,Local
La Rochelle,La Rochelle,40,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,Saint Martin de Ré,Aunis,,France,France,Local
Aligre de Marans,Alligre,26,La Rochelle,Aunis,,France,France,Local
Charente,Charente,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,27,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,29,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,30,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,36,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,32,Marennes,Saintonge,,France,France,Local
Aligre de Marans,Alligre,40,Rochefort,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,36,Marennes,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,32,La Rochelle,Aunis,,France,France,Local
Sables d' Olonne,Sables d'Olonne,26,La Rochelle,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,44,La Rochelle,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,50,La Rochelle,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,30,La Rochelle,Aunis,,France,France,Local
Rochefort,Rochefort,40,La Perrotine,Saintonge,,France,France,Local
Sables d' Olonne,Sables d'Olonne,40,Ile de Ré,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,32,Charente,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,32,Charente,Aunis,,France,France,Local
Marennes,Marennes,30,Aligre de Marans,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,40,Marennes,Saintonge,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,30,Charente,Aunis,,France,France,Local
Marennes,Marennes,40,Charente,Aunis,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
Marennes,Marennes,36,Charente,Aunis,,France,France,Local
Marennes,Marennes,60,Charente,Aunis,,France,France,Local
Marennes,Marennes,22,Aligre de Marans,Aunis,,France,France,Local
Rochefort,Rochefort,100,Marennes,Saintonge,,France,France,Local
Rochefort,Rochefort,41,La Rochelle,Aunis,,France,France,Local
Rochefort,Rochefort,37,La Rochelle,Aunis,,France,France,Local
Rochefort,Rochefort,41,La Rochelle,Aunis,,France,France,Local
La Perrotine,Marennes,20,La Rochelle,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,15,La Rochelle,Aunis,,France,France,Local
Saint Denis [d' Oléron],Marennes,20,La Rochelle,Aunis,,France,France,Local
Saint Denis [d' Oléron],Marennes,18,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,32,Charente,Aunis,,France,France,Local
Ars en Ré,Saint-Martin île de Ré,5,Aligre de Marans,Aunis,,France,France,Local
Ribérou [Saujon],Marennes,36,Oléron,Saintonge,,France,France,Local
Ribérou [Saujon],Marennes,36,Oléron,Saintonge,,France,France,Local
Ribérou [Saujon],Marennes,35,Oléron,Saintonge,,France,France,Local
Aligre de Marans,Alligre,28,La Rochelle,Aunis,,France,France,Local
Marennes,Marennes,27,Rochefort,Aunis,,France,France,Local
Marennes,Marennes,55,Charente,Aunis,,France,France,Local
Marennes,Marennes,29,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,40,Ile de Ré,Aunis,,France,France,Local
Marennes,Marennes,46,La Rochelle,Aunis,,France,France,Local
Saint Martin de Ré,Saint-Martin île de Ré,33,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,22,Oléron,Saintonge,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,22,La Rochelle,Aunis,,France,France,Local
Rochefort,Rochefort,55,Saint Savinien,Saintonge,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,2,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,2,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,20,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Aligre de Marans,Alligre,5,Saint Michel en l' Herm,Poitou,,France,France,Local
Marennes,Marennes,8,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,3,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,12,La Perrotine,Saintonge,,France,France,Local
Aligre de Marans,Alligre,15,La Flotte en Ré,Aunis,,France,France,Local
Aligre de Marans,Alligre,8,La Flotte en Ré,Aunis,,France,France,Local
Aligre de Marans,Alligre,35,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,5,Charente,Aunis,,France,France,Local
Marennes,Marennes,20,Aligre de Marans,Aunis,,France,France,Local
Marennes,Marennes,20,Aligre de Marans,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,4,Saint Michel en l' Herm,Poitou,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,9,Oléron,Saintonge,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,26,Charente,Aunis,,France,France,Local
La Tranche sur Mer,Sables d'Olonne,5,La Rochelle,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,26,Charente,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,36,Charente,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,4,Charente,Aunis,,France,France,Local
Aligre de Marans,Alligre,32,Marennes,Saintonge,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,18,Aligre de Marans,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,25,Aligre de Marans,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,25,Aligre de Marans,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,25,Aligre de Marans,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,25,Aligre de Marans,Aunis,,France,France,Local
La Tranche sur Mer,Sables d'Olonne,4,La Rochelle,Aunis,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,30,La Perrotine,Saintonge,,France,France,Local
La Flotte en Ré,Saint-Martin île de Ré,16,Coureaux [de Ré],Aunis,,France,France,Local
Aligre de Marans,Alligre,20,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,27,Oléron,Saintonge,,France,France,Local
Sables d' Olonne,Sables d'Olonne,7,dans le Pertuis,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,Ile de Ré,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,Rochefort,Aunis,,France,France,Local
Aligre de Marans,Alligre,6,Oléron,Saintonge,,France,France,Local
Aligre de Marans,Alligre,15,Loix,Aunis,,France,France,Local
Aligre de Marans,Alligre,15,Loix,Aunis,,France,France,Local
Aligre de Marans,Alligre,28,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,25,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,25,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,37,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,25,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,30,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,27,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,20,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,27,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,30,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,27,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,30,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,25,La Rochelle,Aunis,,France,France,Local
Aligre de Marans,Alligre,40,La Rochelle,Aunis,,France,France,Local
