flow_type,customs_office,product,partner,value
export,La Rochelle,autres produits,Ports francs et petites îles,1980
export,La Rochelle,autres produits,Ports francs et petites îles,120
export,La Rochelle,autres produits,Ports francs et petites îles,7198.875
export,La Rochelle,autres produits,Ports francs et petites îles,2500
export,La Rochelle,autres produits,Ports francs et petites îles,7200
export,La Rochelle,autres produits,Ports francs et petites îles,1248
export,La Rochelle,autres produits,Ports francs et petites îles,450
export,La Rochelle,autres produits,Ports francs et petites îles,5040
export,La Rochelle,autres produits,Ports francs et petites îles,1050
export,La Rochelle,autres produits,Ports francs et petites îles,8280
export,La Rochelle,autres produits,Ports francs et petites îles,220
export,La Rochelle,autres produits,Ports francs et petites îles,1840
export,La Rochelle,autres produits,Ports francs et petites îles,1260
export,La Rochelle,autres produits,Ports francs et petites îles,177.60001
export,La Rochelle,autres produits,Ports francs et petites îles,4172.75
export,La Rochelle,autres produits,Ports francs et petites îles,4931
export,La Rochelle,autres produits,Ports francs et petites îles,722
export,La Rochelle,autres produits,Ports francs et petites îles,1991
export,La Rochelle,autres produits,Ports francs et petites îles,2068
export,La Rochelle,autres produits,Ports francs et petites îles,600
export,La Rochelle,autres produits,Ports francs et petites îles,288
export,La Rochelle,autres produits,Ports francs et petites îles,234
export,La Rochelle,autres produits,Ports francs et petites îles,144
export,La Rochelle,autres produits,Ports francs et petites îles,117
export,La Rochelle,autres produits,Ports francs et petites îles,2508
export,La Rochelle,autres produits,Ports francs et petites îles,240
export,La Rochelle,autres produits,Ports francs et petites îles,2145
export,La Rochelle,autres produits,Ports francs et petites îles,838
export,La Rochelle,autres produits,Ports francs et petites îles,342
export,La Rochelle,autres produits,Ports francs et petites îles,3312
export,La Rochelle,autres produits,Ports francs et petites îles,775.59998
export,La Rochelle,autres produits,Ports francs et petites îles,204.8
export,La Rochelle,autres produits,Ports francs et petites îles,420
export,La Rochelle,autres produits,Ports francs et petites îles,163.8
export,La Rochelle,autres produits,Ports francs et petites îles,361.5
export,La Rochelle,autres produits,Ports francs et petites îles,1005.0001
export,La Rochelle,autres produits,Ports francs et petites îles,240
export,La Rochelle,autres produits,Ports francs et petites îles,110
export,La Rochelle,autres produits,Ports francs et petites îles,745.5
export,La Rochelle,autres produits,Ports francs et petites îles,168
export,La Rochelle,autres produits,Ports francs et petites îles,5095.75
export,La Rochelle,autres produits,Ports francs et petites îles,442
export,La Rochelle,autres produits,Ports francs et petites îles,621.25
export,La Rochelle,autres produits,Ports francs et petites îles,152
export,La Rochelle,autres produits,Ports francs et petites îles,483
export,La Rochelle,autres produits,Ports francs et petites îles,3447.5
